commentor,content,rating,shop_name,shop_url,shop_rating,shop_n_comments,updated_at
Dinh Lê,"Miếng sườn to , phủ đầy hộp cơm luôn. Thịt ướp vị ngon, nướng thơm ,mềm vừa kieu truyền thống.
Canh chua quá ngon
Chả ok
Cà tím xào thơm, nướng
Sẽ thử thêm món khác",9.6,Cơm Tấm Tin Mập - Đường Số 3,https://www.foody.vn/ho-chi-minh/com-tam-tin-map-duong-so-3,9.6,1,2022-03-13 10:50:42
Dinh Lê,"Miếng sườn to , phủ đầy hộp cơm luôn. Thịt ướp vị ngon, nướng thơm ,mềm vừa kieu truyền thống.
Canh chua quá ngon
Chả ok
Cà tím xào thơm, nướng
Sẽ thử thêm món khác",9.6,Cơm Tấm Tin Mập - Đường Số 3,https://www.foody.vn/ho-chi-minh/com-tam-tin-map-duong-so-3,9.6,1,2022-03-13 10:50:55
Tran N.T Linh,"Toi va nguoi nha rat thich buffet ong binh Dan. Da den day rat nhieu lan. Chat luong tot. Co the noi la gia qua re so voi noi khac. Voi tam gia nay la gan nhu re nhat sai gon. Gia chi hon 200k+ ma co duoc: Tom cang, Hao, so diep, oc huong,***mu, cua, ghe, va hon may chuc loai hai san khac.. Vvv.. La it noi nao co..
Cong bang ma noi Buffet Ong binh Dan thi dung la co chut chen lan, dong nguoi, binh dan ve moi mat. Nhung cung khong co gi la qua*** Toi la nguoi co thu nhap cao. An buffet o rat nhieu noi voi nhieu loai gia tu re 100k+ den cao cap 1000k+. Toi se cham Ong binh Dan 8/10. 
Nhung ban comment nguoi ta***gi do, thi nen cong tam mot chut. Con nguoi Bay gio thich thi khong noi gi nhieu. Nhung he khong vua y cai gi mot chut la lap tuc nem gach nem da nguoi ta tham te, ma khong can suy nghi. 
Nguoi***minh thu nhap cung dau co cao gi. Nha hang o***thi gia***luc nao cung dat do. Co Nhung noi nhu Ong Binh Dan la rat tot, gia hop ly. Rat***dong tien bat gao.",9.0,Ông Bình Dân - Buffet Hải Sản,https://www.foody.vn/ho-chi-minh/ong-binh-dan-buffet-hai-san,4.7,12,2022-03-13 10:50:47
Tú Ròm SC,"Hôm 15/7/2020 mình đưa gia đình 6 người 5 người lớn và 1 em bé đi ăn buffer tại Ông Bình dân, ăn xong cả gia đình ai cũng đau bụng ói mửa, phải nhập viện. Chỉ trừ đứa bé không ăn nên không bị, ăn một lần rồi sợ tới già. Mọi người nên tránh quán này",1.0,Ông Bình Dân - Buffet Hải Sản,https://www.foody.vn/ho-chi-minh/ong-binh-dan-buffet-hai-san,4.7,12,2022-03-13 10:50:48
Hoang,"Nghe danh ham rẻ tới ăn thử. Hứa ko bao giờ quay lại. Nói hào, tôm càng xanh nhìu, ăn thả ga. Thật sự lên rất ít, ko tươi, và là tôm sú là chủ yếu, rất ít tôm càng xanh. Phải chụp giật vs ng khác chứ ko hề thoải mái. Thái độ nhân viên thì tệ. Kêu cứ giả vờ không nghe. Lúc vắng hay có đông khách cũng v. Quá tệ. Mình rất thất vọng vì đi từ tận q3 qua nhà bè. Thôi bye luôn.",1.0,Ông Bình Dân - Buffet Hải Sản,https://www.foody.vn/ho-chi-minh/ong-binh-dan-buffet-hai-san,4.7,12,2022-03-13 10:50:48
Hương Hương,"Nhà hàng buffet siêu tệ mình từng ăn, đúng là 1 trải nghiệm tệ hại.
Khách hàng đông rồi kiểu chen lấn nhau, đi ăn mà cảm giác rất khó chịu, hải sản được ướp đá, nhìn cũng không tươi ngon lắm, nhất là tôm mình thấy nó ươn ươn thế nào ấy nên không động vào con nào...
Được chú tôm hùm kia là ổn nhất thôi, tôm hùm thịt chắc nướng lê chấm cùng mù tạt tạm ổn, tạm ổn thôi nhé chứ cũng chưa chất lượng đâu.
Nói chung nhà hàng này là lần đầu tiên và cũng là cuối cùng mình đến.
Địa chỉ: 179A*** huyện Nhà Bè",3.2,Ông Bình Dân - Buffet Hải Sản,https://www.foody.vn/ho-chi-minh/ong-binh-dan-buffet-hai-san,4.7,12,2022-03-13 10:50:49
Nguyên PHT Phạm,"Dẫn bạn bè đi ăn ở đây về mang tiếng, 7-8h tối vẫn nhận khách mà k còn k j để ăn. Mấy hải sản ngon đem ra nhỏ giọt mà tranh giành nhau ăn. Nói chung là k bjo quay lại",3.4,Ông Bình Dân - Buffet Hải Sản,https://www.foody.vn/ho-chi-minh/ong-binh-dan-buffet-hai-san,4.7,12,2022-03-13 10:50:49
Foodee_Kct9oltl,"Khuyên chân thành mọi người không nên tới quán này. Quán đồ ăn mất vệ sinh, ruồi nhặng bu bám đầy. Và đặc biệt là rất nhiều muỗi nhé. Ăn về rồi đau bụng tới giờ vẫn chưa khỏi. Quầy chế biến thì có các loại ốc nhưng chế biến rất nhạt, tanh và hôi vì có mấy con đã chết. Quầy trái cây thì giống như để lâu, hư và dập. Không có gì đặc sắc cả. Không khéo ăn vào rồi bị ngộ độc.",1.0,Ông Bình Dân - Buffet Hải Sản,https://www.foody.vn/ho-chi-minh/ong-binh-dan-buffet-hai-san,4.7,12,2022-03-13 10:50:50
Boeing Kun,"+ Đồ ăn tươi và đa dạng. 
+ Nhà vệ sinh sạch sẽ có máy lạnh. 
+ Có thể tự lấy đá + vỉ nướng ko cần kêu/chờ nhân viên.
+ Không gian rộng rãi, dù đông vẫn có chỗ ngồi.
+ Tráng miệng ngon.
+ Dù đông nhưng ko có tình trạng giành giựt chen lấn, chỉ mau hết đồ ăn > thường phải chờ nv refill khay buffet.
+ Giá cả khỏi chê.

- Đông do lễ cuối tuần nên ai đến trễ sẽ ko có nhiều đồ ăn .
- Sauce nêm đồ nướng hơi mặn, ko nên nhúng tẩm ít ít muỗng là vừa.
- Hệ thống quạt chưa đủ nên mùa hè + đông sẽ hơi nóng.
- Nên xây khu vực vệ sinh rộng thêm để phục vụ tốt hơn khi đông khách.",7.4,Ông Bình Dân - Buffet Hải Sản,https://www.foody.vn/ho-chi-minh/ong-binh-dan-buffet-hai-san,4.7,12,2022-03-13 10:50:50
Uyen Phuong Pham Tran,"Cuối tuần gia đình mình trên đường đi châu đốc về có ghé qua ăn thử, ấn tượng đầu tiên quán sân vườn nhưng nhìn hoành tráng và chuyên nghiệp, không gian rộng rãi thoáng mát,nhà mình đi 7 người có bà cụ hơn 80t, lúc mua vé vẫn mua đủ, sau có anh quản lý ra nói không tính vé cho cụ, cụ cứ vào miễn phí, giá 199k một người vào cuối tuần và 175k vào ngày thứ, các món nướng , lẩu , nhiều loại, thịt cá ốc tôm , hôm mình đi có cả cua, các bạn nhân viên nhiệt tình chủ động xin phép dọn khi có thức ăn bị rơi, thay vĩ nướng mới khi vĩ bị đen, nói chung mọi thứ tuyệt vời, lần sau nếu đi qua sẽ ghé lại quán",10,Ông Bình Dân - Buffet Hải Sản,https://www.foody.vn/ho-chi-minh/ong-binh-dan-buffet-hai-san,4.7,12,2022-03-13 10:50:51
